species,nsites,model_type,Model,effect,term,estimate,std.error,statistic,p_value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual,r2.R2m,r2.R2c,null.deviance,df.null,deviance,r2
Anthocharis euphenoides,3,mixed,JanFebMar,fixed,(Intercept),0.0630187745354955,0.5960646217771891,0.10572473559595374,0.9158,16,0.5467882725953118,-17.06386329962192,42.12772659924384,45.21808148820297,34.12772659924384,12,0.06394648815150748,0.7861054195154319,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JanFebMar,fixed,scale(x),0.29897002670360795,0.1453937523818059,2.056278360011706,0.0398,16,0.5467882725953118,-17.06386329962192,42.12772659924384,45.21808148820297,34.12772659924384,12,0.06394648815150748,0.7861054195154319,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MarAprMay,fixed,(Intercept),0.06133390824188856,0.5700768185761597,0.10758884810485349,0.9143,16,0.5572852617063129,-17.22811630312153,42.45623260624306,45.54658749520219,34.45623260624306,12,0.06032353733619815,0.7621361484714722,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MarAprMay,fixed,scale(x),0.2806446285695181,0.14449536021447126,1.9422397241888147,0.0521,16,0.5572852617063129,-17.22811630312153,42.45623260624306,45.54658749520219,34.45623260624306,12,0.06032353733619815,0.7621361484714722,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Dec_preJanFeb,fixed,(Intercept),0.06207832002864742,0.6025081238705152,0.10303316680587803,0.9179,16,0.5698062201031301,-17.540038588398794,43.08007717679759,46.170432065756714,35.08007717679759,12,0.050387179732533975,0.7720232622980684,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Dec_preJanFeb,fixed,scale(x),0.26788101991698493,0.1577210873556626,1.6984477117692616,0.0894,16,0.5698062201031301,-17.540038588398794,43.08007717679759,46.170432065756714,35.08007717679759,12,0.050387179732533975,0.7720232622980684,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JanFeb,fixed,(Intercept),0.06289529175364675,0.6188078116268889,0.10163945989674991,0.919,16,0.570607888464057,-17.56034175173661,43.12068350347322,46.21103839243234,35.12068350347322,12,0.05100534434931998,0.7813064382357104,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JanFeb,fixed,scale(x),0.27556725771843466,0.1660326054233136,1.659717722406714,0.097,16,0.570607888464057,-17.56034175173661,43.12068350347322,46.21103839243234,35.12068350347322,12,0.05100534434931998,0.7813064382357104,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JunJulAug,fixed,(Intercept),0.0607932094788069,0.5771690751585776,0.10532998404688249,0.9161,16,0.5733685789554578,-17.583175891243563,43.166351782487126,46.25670667144625,35.166351782487126,12,0.04836137432453534,0.7528908775679078,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JunJulAug,fixed,scale(x),0.2536523074636904,0.15032318437594283,1.68737981780197,0.0915,16,0.5733685789554578,-17.583175891243563,43.166351782487126,46.25670667144625,35.166351782487126,12,0.04836137432453534,0.7528908775679078,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MayJunJul,fixed,(Intercept),0.05945115469110022,0.565731039557162,0.10508731275843884,0.9163,16,0.5816059198285407,-17.721602414567116,43.44320482913423,46.53355971809336,35.44320482913423,12,0.044342232791454994,0.7381517866001085,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MayJunJul,fixed,scale(x),0.23933862385188,0.15137646970699317,1.5810820817472349,0.1139,16,0.5816059198285407,-17.721602414567116,43.44320482913423,46.53355971809336,35.44320482913423,12,0.044342232791454994,0.7381517866001085,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,FebMarApr,fixed,(Intercept),0.06196846063618503,0.5825812648916875,0.10636878384289632,0.9153,16,0.5805375700931139,-17.749102635152617,43.498205270305235,46.58856015926436,35.498205270305235,12,0.042156656566298294,0.7500620280718862,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,FebMarApr,fixed,scale(x),0.2384225287923733,0.15248346809393057,1.5635959213985338,0.1179,16,0.5805375700931139,-17.749102635152617,43.498205270305235,46.58856015926436,35.498205270305235,12,0.042156656566298294,0.7500620280718862,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MayJun,fixed,(Intercept),0.059702946183410426,0.5664055264722883,0.10540671549455906,0.9161,16,0.584781479925031,-17.790763417328392,43.581526834656785,46.67188172361591,35.581526834656785,12,0.041727344468220365,0.735693940436669,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MayJun,fixed,scale(x),0.2323541445816672,0.15198450780136158,1.5288015070940382,0.1263,16,0.584781479925031,-17.790763417328392,43.581526834656785,46.67188172361591,35.581526834656785,12,0.041727344468220365,0.735693940436669,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,FebMar,fixed,(Intercept),0.06176803663702405,0.5832308398054755,0.10590667094631945,0.9157,16,0.5844360827046712,-17.828398956366495,43.65679791273299,46.74715280169212,35.65679791273299,12,0.03943760034077074,0.747141003713203,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,FebMar,fixed,scale(x),0.2308091688463336,0.1540068549872475,1.4986941254364663,0.134,16,0.5844360827046712,-17.828398956366495,43.65679791273299,46.74715280169212,35.65679791273299,12,0.03943760034077074,0.747141003713203,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MarApr,fixed,(Intercept),0.06034085341676281,0.5636230543734232,0.107058880839861,0.9147,16,0.5892089889032184,-17.87421475778918,43.74842951557836,46.838784404537485,35.74842951557836,12,0.038849957603602804,0.7297334186556528,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MarApr,fixed,scale(x),0.22339243616380242,0.1527086322924597,1.462867113733117,0.1435,16,0.5892089889032184,-17.87421475778918,43.74842951557836,46.838784404537485,35.74842951557836,12,0.038849957603602804,0.7297334186556528,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Mar,fixed,(Intercept),0.06038152196768389,0.5660562908402702,0.10667052543140511,0.9151,16,0.589753254848481,-17.893749302015678,43.787498604031356,46.87785349299048,35.787498604031356,12,0.037924412324342634,0.7308840098749451,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Mar,fixed,scale(x),0.2213910320112877,0.1528741917422105,1.448191022227062,0.1476,16,0.589753254848481,-17.893749302015678,43.787498604031356,46.87785349299048,35.787498604031356,12,0.037924412324342634,0.7308840098749451,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,May,fixed,(Intercept),0.059108749547068455,0.5641997370920917,0.1047656453221998,0.9166,16,0.5935647905874709,-17.959591491613974,43.91918298322795,47.009537872187074,35.91918298322795,12,0.03582006107222819,0.7262182772756636,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,May,fixed,scale(x),0.2146985277442597,0.15461757830382702,1.3885777419328886,0.165,16,0.5935647905874709,-17.959591491613974,43.91918298322795,47.009537872187074,35.91918298322795,12,0.03582006107222819,0.7262182772756636,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Jan,fixed,(Intercept),0.058821106157816765,0.5656146963505734,0.10399501027349346,0.9172,16,0.5941430179142267,-17.968213011552628,43.936426023105255,47.02678091206438,35.936426023105255,12,0.035630372594098764,0.7268092797257109,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Jan,fixed,scale(x),0.21456960821605628,0.1560225899195647,1.3752470608690364,0.1691,16,0.5941430179142267,-17.968213011552628,43.936426023105255,47.02678091206438,35.936426023105255,12,0.035630372594098764,0.7268092797257109,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Dec_preJan,fixed,(Intercept),0.05810890204166206,0.5532132984001413,0.10503887417332412,0.9163,16,0.5974144716616061,-18.004559499921005,44.00911899984201,47.099473888801136,36.00911899984201,12,0.034853790245729606,0.7147663932060163,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Dec_preJan,fixed,scale(x),0.2088336111981388,0.15457847916101586,1.350987616980035,0.1767,16,0.5974144716616061,-18.004559499921005,44.00911899984201,47.099473888801136,36.00911899984201,12,0.034853790245729606,0.7147663932060163,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JunJul,fixed,(Intercept),0.059090182256039264,0.5583972891063989,0.10582104069774599,0.9157,16,0.6015391776698246,-18.107020633512235,44.21404126702447,47.304396155983596,36.21404126702447,12,0.030488524355864965,0.714540722056105,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JunJul,fixed,scale(x),0.19658937358168,0.15545267777487184,1.2646251991000292,0.206,16,0.6015391776698246,-18.107020633512235,44.21404126702447,47.304396155983596,36.21404126702447,12,0.030488524355864965,0.714540722056105,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,AprMayJun,fixed,(Intercept),0.0587615706496449,0.5557980212272066,0.10572468487724888,0.9158,16,0.6102008760260816,-18.26977092843546,44.53954185687092,47.629896745830045,36.53954185687092,12,0.02432295725892678,0.7043512329941739,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,AprMayJun,fixed,scale(x),0.1750221357243537,0.15760896064664234,1.110483407835875,0.2668,16,0.6102008760260816,-18.26977092843546,44.53954185687092,47.629896745830045,36.53954185687092,12,0.02432295725892678,0.7043512329941739,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Oct_pre,fixed,(Intercept),0.059658600987345,0.5498257539190302,0.1085045590573238,0.9136,16,0.6157268807504964,-18.281975639961104,44.56395127992221,47.654306168881334,36.56395127992221,12,0.024506042409706257,0.6954803610762156,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Oct_pre,fixed,scale(x),-0.1746694896265369,0.17131432621925066,-1.0195848384740003,0.3079,16,0.6157268807504964,-18.281975639961104,44.56395127992221,47.654306168881334,36.56395127992221,12,0.024506042409706257,0.6954803610762156,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Jun,fixed,(Intercept),0.05958560321423573,0.5602599709423381,0.10635348999503709,0.9153,16,0.6158771543483592,-18.39132657803712,44.78265315607424,47.873008045033366,36.78265315607424,12,0.01925401118466624,0.7022475759611807,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Jun,fixed,scale(x),0.15661272689219505,0.15995939342384388,0.979078024365964,0.3275,16,0.6158771543483592,-18.39132657803712,44.78265315607424,47.873008045033366,36.78265315607424,12,0.01925401118466624,0.7022475759611807,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,AprMay,fixed,(Intercept),0.05835214193009965,0.5541761638496288,0.10529529369280674,0.9161,16,0.6178509740767895,-18.413694479171802,44.827388958343604,47.91774384730273,36.827388958343604,12,0.01863973140094133,0.6956763692251672,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,AprMay,fixed,scale(x),0.15290994154577947,0.15954389179538372,0.9584192777614304,0.3379,16,0.6178509740767895,-18.413694479171802,44.827388958343604,47.91774384730273,36.827388958343604,12,0.01863973140094133,0.6956763692251672,NA,NA,NA,NA
