species,nsites,model_type,Model,effect,term,estimate,std.error,statistic,p_value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual,r2.R2m,r2.R2c,null.deviance,df.null,deviance,r2
Anthocharis euphenoides,3,mixed,Oct_preNov_pre,fixed,(Intercept),97.16930968162325,22.131269392171276,4.39058907827474,0,16,9.812650158096158,-57.766211648507024,123.53242329701405,126.62277818597317,115.53242329701405,12,0.07440066474420247,0.8251218509785077,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Oct_preNov_pre,fixed,x,5.822368233832753,2.4809454705809646,2.3468344237607632,0.0189,16,9.812650158096158,-57.766211648507024,123.53242329701405,126.62277818597317,115.53242329701405,12,0.07440066474420247,0.8251218509785077,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MayJun,fixed,(Intercept),205.8969327492216,29.360004507471285,7.012837232256783,0,16,9.69010697569862,-57.89852340435184,123.79704680870368,126.88740169766281,115.79704680870368,12,0.08181748316500799,0.833910679842202,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MayJun,fixed,x,-4.6129100582430835,1.8946242449061153,-2.434736106985514,0.0149,16,9.69010697569862,-57.89852340435184,123.79704680870368,126.88740169766281,115.79704680870368,12,0.08181748316500799,0.833910679842202,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Jun,fixed,(Intercept),211.23452597110534,33.374602453435784,6.329199763976801,0,16,9.940306798432664,-58.189741074122495,124.37948214824499,127.46983703720412,116.37948214824499,12,0.07174729141863685,0.8164113516983682,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,Jun,fixed,x,-4.21415255248526,1.8677588821494973,-2.256261551081707,0.0241,16,9.940306798432664,-58.189741074122495,124.37948214824499,127.46983703720412,116.37948214824499,12,0.07174729141863685,0.8164113516983682,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JunJulAug,fixed,(Intercept),270.3673837568841,89.27230522804831,3.0285695330284566,0.0025,16,10.889325108193411,-58.49435502800841,124.98871005601681,128.07906494497593,116.98871005601681,12,0.0430462265129737,0.7822014857373503,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,JunJulAug,fixed,x,-6.6836328713824935,4.564228416812119,-1.4643510931143693,0.1431,16,10.889325108193411,-58.49435502800841,124.98871005601681,128.07906494497593,116.98871005601681,12,0.0430462265129737,0.7822014857373503,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MayJunJul,fixed,(Intercept),214.31760571286222,42.35424778863517,5.060120693971329,0,16,10.506012976580015,-58.62414171723046,125.24828343446092,128.33863832342004,117.24828343446092,12,0.05691791248337458,0.7940062805183716,NA,NA,NA,NA
Anthocharis euphenoides,3,mixed,MayJunJul,fixed,x,-4.448874383686641,2.462404211364253,-1.8067197753945594,0.0708,16,10.506012976580015,-58.62414171723046,125.24828343446092,128.33863832342004,117.24828343446092,12,0.05691791248337458,0.7940062805183716,NA,NA,NA,NA
